2025-03-07 10:15:52,173 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/standard-content.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,173 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/standard-content_en_IN.ftl"): Not found
2025-03-07 10:15:52,174 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/standard-content_en.ftl"): Not found
2025-03-07 10:15:52,174 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/standard-content.ftl"): Found
2025-03-07 10:15:52,174 [DEBUG] freemarker.cache  - Loading template for "spark/partials/standard-content.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/standard-content.ftl"
2025-03-07 10:15:52,187 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/exception.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,188 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/exception_en_IN.ftl"): Not found
2025-03-07 10:15:52,188 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/exception_en.ftl"): Not found
2025-03-07 10:15:52,189 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/exception.ftl"): Found
2025-03-07 10:15:52,189 [DEBUG] freemarker.cache  - Loading template for "spark/partials/exception.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/exception.ftl"
2025-03-07 10:15:52,190 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/category.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,191 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/category_en_IN.ftl"): Not found
2025-03-07 10:15:52,191 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/category_en.ftl"): Not found
2025-03-07 10:15:52,191 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/category.ftl"): Found
